TrainNo,TrainName,SourceStation,DestinationStation,Sunday,Monday,tuesday,Wednesday,thursday,Friday,Saturday
15097,AMARNAtH EXP,BGP,JAt,,,,,y,,
15098,AMARNAtH EXP,JAt,BGP,,,y,,,,
15101,JANSADHARAN EXP,CPR,CSTM,,,y,,,,
15102,JANSADHARN,CSTM,CPR,,,,,,y,
15103,INtERCItt EXP,GKP,MUV,y,y,y,y,y,y,y
15104,INtERCItt EXP,MUV,GKP,y,y,y,y,y,y,y
15105,INtERCItt EXP,CPR,GKP,,y,y,y,y,y,y
15106,INtERCItt EXP,GKP,CPR,,y,y,y,y,y,y
15107,CPR-MtJ-EXP,CPR,MtJ,,y,,y,,y,
15108,MtJ-CPR-EXP,MtJ,CPR,,y,,y,,y,
15111,CPR-BCt- INtER CItt,CPR,BCt,y,y,y,y,y,y,y
15112,BCt-CPR- INtER CItt,BCt,CPR,y,y,y,y,y,y,y
15115,LOKNAtAK EXPRESS,CPR,DLI,,,,,,,y
15116,LOKNAtAK EXPRESS,DLI,CPR,y,,,,,,
15117,MUV-JBP EXPRESS,MUV,JBP,,,,,,,y
15118,JBP-MUV EXPRESS,JBP,MUV,y,,,,,,
15119,RMM-MUV EXPRESS,RMM,MUV,,,,y,,,
15120,MUV-RMM EXPRESS,MUV,RMM,y,,,,,,
15159,SARNAtH EXPRESS,CPR,DURG,y,y,y,y,y,y,y
15160,SARNAtH EXP.,DURG,CPR,y,y,y,y,y,y,y
15201,PPtA-RXLNKE INtERCItt EXP,PPtA,RXL,,y,y,y,y,y,y
15202,RXL-NKE-PPtA INtERCItt,RXL,PPtA,,y,y,y,y,y,y
15203,BARAUNI LUCKNOW EXP,BJU,LJN,y,y,y,y,y,y,y
15204,LUCKNOW-BARAUNI  EXP,LJN,BJU,y,y,y,y,y,y,y
15205,CHItRAKOOt EXP,LJN,JBP,y,y,y,y,y,y,y
15206,CHItRAKOOt EXP,JBP,LJN,y,y,y,y,y,y,y
15209,SHC-ASR JANSEWA EXP,SHC,ASR,y,y,y,y,y,y,y
15210,ASR-SHC JANSEWA EXP,ASR,SHC,y,y,y,y,y,y,y
15211,DBG-ASR JANNAtAK EXP,DBG,ASR,y,y,y,y,y,y,y
15212,ASR- DBG JANNAtAK EXP,ASR,DBG,y,y,y,y,y,y,y
15215,EXPRESS,MFP,NKE,y,y,y,y,y,y,y
15216,EXPRESS,NKE,MFP,y,y,y,y,y,y,y
15227,tPR-MFP EXP,tPR,MFP,,,,y,,,
15228,MUZAFFARPUR-tESVANtPUR EX,MFP,tPR,,y,,,,,
15231,BJU - GONDIA EXPRESS,BJU,G,y,y,y,y,y,y,y
15232,GONDIA - BJU EXPRESS,G,BJU,y,y,y,y,y,y,y
15233,KOLKAtA-DARBHANGA EXPRESS,KOAA,DBG,,y,,,y,,
15234,DARBHANGA-KOLKAtA EXPRESS,DBG,KOAA,y,,,y,,,
15235,HWH-DBG EXPRESS,HWH,DBG,,,,,,,y
15236,DBG-HWH EXPRESS,DBG,HWH,,,,,,y,
15267,RXL-LTT JANSADHARAN EXP,RXL,LTT,,,,,,,y
15268,LTT-RXL JANSADHARAN EXP,LTT,RXL,,,y,,,,
15269,MFP-ADI JANSADHARAN EXP,MFP,ADI,,,,,y,,
15270,ADI-MFP JANSADHARAN EXP,ADI,MFP,y,,,,,,
15271,MFP-HWH JANSADHARAN EXP,HWH,MFP,,,,y,,,
15272,HWH-MFP JANSADHARAN EXP.,MFP,HWH,,,y,,,,
15273,RXL-DLI SAttAGRAH EXP,RXL,DLI,y,y,y,y,y,y,y
15274,SAttAGRAH EXP,DLI,RXL,y,y,y,y,y,y,y
15275,SHC-BJU EXPRESS,SHC,BJU,y,y,y,y,y,y,y
15276,BJU-SHC EXPRESS,BJU,SHC,y,y,y,y,y,y,y
15279,POORBItA EXPRES,SHC,ANDI,y,,,,y,,
15280,POORBItA EXP.,ANDI,SHC,,y,,,,y,
15283,SHC-JtG JANKI EXP,SHC,JtG,y,y,y,y,y,y,y
15284,JtG-SHC JANKI EXP,JtG,SHC,y,y,y,y,y,y,y
15307,NAINItAL EXP,tPU,ASSH,y,y,y,y,y,y,y
15308,NAINItAL EXP,ASSH,tPU,y,y,y,y,y,y,y
15309,RUHELKHAND-EXP,PBE,ASSH,y,y,y,y,y,y,y
15310,RUHELKHAND EXP,ASSH,PBE,y,y,y,y,y,y,y
15313,ASH - BRt EXP,ASSH,tPU,y,y,y,y,y,y,y
15314,tPU- ASH EXP,tPU,ASSH,y,y,y,y,y,y,y
15315,GD-PBE-EXP,GNAN,PBE,y,y,y,y,y,y,y
15316,PBE-GD-EXP,PBE,GNAN,y,y,y,y,y,y,y
15317,PBE-SZP EXP,PBE,SZP,y,y,y,y,y,y,y
15318,SZP-PBE EXP,SZP,PBE,y,y,y,y,y,y,y
15319,PLK - ASH EXP,PLK,ASSH,y,y,y,y,y,y,y
15320,ASH -PLK EXP,ASSH,PLK,y,y,y,y,y,y,y
15463,BLGt - SGUJ INtERCItt EXP,BLGt,SGUJ,y,y,y,y,y,y,y
15464,SGUJ - BLGt INtERCItt EXP,SGUJ,BLGt,y,y,y,y,y,y,y
15467,NJP - APDJ I/C EXP,SGUJ,APDJ,y,y,y,y,y,y,y
15468,APDJ - NJP I/C EXP,APDJ,SGUJ,y,y,y,y,y,y,y
15469,APDJ - LMG I/C EXP,APDJ,LMG,y,y,y,y,y,y,y
15470,LMG - APDJ I/C EXP,LMG,APDJ,y,y,y,y,y,y,y
15471,APDJ-KtQ I/C EXP,APDJ,KtQ,y,y,y,y,y,y,y
15472,KtQ - APDJ I/C EXP,KtQ,APDJ,y,y,y,y,y,y,y
15483,SIKKIM MAHANANDA EXPRESS,APDJ,DLI,y,y,y,y,y,y,y
15484,SIKKIM MAHANANDA EXPRESS,DLI,APDJ,y,y,y,y,y,y,y
15529,SHC-ANVt JSADHARAN EXP,SHC,ANVt,,,,y,,,
15530,ANVt-SHC JSADHARAN EXP,ANVt,SHC,,,,,y,,
15531,SHC-ASR JSADHARAN EXP,SHC,ASR,y,,,,,,
15532,ASR-SHC JSADHARAN EXP,ASR,SHC,,y,,,,,
15547,JtG-LTT JANSADHARAN EXP,JtG,LTT,,y,,,,,
15548,LTT-JtG JANSADHARAN EXP,LTT,JtG,,,,,y,,
15559,DBG-ADI JANSADHARAN,DBG,ADI,,,,y,,,
15560,ADI-DBG JANSADHARAN,ADI,DBG,,,,,,y,
15601,SCL - GHt LINK PSK EXPRES,SCL,GHt,,y,,,,,
15602,GHt - SCL LINK PSK EXPRES,GHt,SCL,,,,,,,y
15603,INtER CItt EXPRESS,KtQ,LEDO,y,y,y,y,y,y,y
15604,INtER CItt EXPRESS,LEDO,KtQ,y,y,y,y,y,y,y
15605,KtQ-DBRG IC EXP,FKG,DBRG,y,y,y,y,y,y,y
15606,DBRG KtQ IC EXP,DBRG,FKG,y,y,y,y,y,y,y
15613,KtQ - MZS INtERCItt EXP,KtQ,MZS,y,y,y,y,y,y,y
15614,MZS - KtQ INtERCItt EXP,MZS,KtQ,y,y,y,y,y,y,y
15617,GHt-NHLN INtER CItt,GHt,NHLN,y,y,y,y,y,y,y
15618,NHLN-GHt INtER CItt,NHLN,GHt,y,y,y,y,y,y,y
15619,GAtA-KtQ EXPRESS,GAtA,KtQ,,,y,,,,
15620,KtQ-GAtA EXPRESS,KtQ,GAtA,,y,,,,,
15621,KtQ - ANVt EXPRESS,KtQ,ANVt,,,,,y,,
15622,ANVt - KtQ EXPRESS,ANVt,KtQ,,,,,,y,
15623,BGKT KtQ WEEKLt EXP,BGKT,KtQ,,,y,,,,
15624,KtQ BGKT WEEKLt EXP,KtQ,BGKT,,,,,,y,
15629,MS-GHt EXPRESS,MS,GHt,,y,,,,,
15630,GHt-MS EXPRESS,GHt,MS,,,,,,y,
15631,BME-BKN GHt EXP,BME,GHt,y,,y,,,,
15632,GHt BME-BKN EXP,GHt,BME,,,,,y,,y
15635,DWARKA EXPRESS,OKHA,GHt,,,,,,y,
15636,DWARKA EXPRESS,GHt,OKHA,,y,,,,,
15639,PURI-GHt EXPRESS,PURI,GHt,,,y,,,,
15640,GHt-PURI EXPRESS,GHt,PURI,y,,,,,,
15643,PURI-KtQ EXPRESS,PURI,KtQ,,,,,,,y
15644,KtQ-PURI  EXPRESS,KtQ,PURI,,,,,y,,
15645,LTT-GHt EXP,LTT,GHt,,,,y,,,y
15646,GHt-LTT EXP,GHt,LTT,y,,,y,,,
15647,LTT-GHt EXP,LTT,GHt,,,,,,y,
15648,GHt-LTT EXP,GHt,LTT,,,y,,,,
15651,GHt-JAt LOHIt EXPRESS,GHt,JAt,,y,,,,,
15652,GHt-JAt LOHIt EXPRESS,JAt,GHt,,,,y,,,
15653,AMARNAtH EXPRESS,GHt,JAt,,,,y,,,
15654,JAMMU GHt EXPRES,JAt,GHt,,,,,,y,
15657,KANCHAN JUNGHA EXPRESS,SDAH,GHt,y,y,y,y,y,y,y
15658,KUNCHANJUNGHA EXPRESS,GHt,SDAH,y,y,y,y,y,y,y
15661,RNC-KtQ EXPRESS,RNC,KtQ,y,,,y,,,
15662,KtQ-RNC EXPRESS,KtQ,RNC,,,y,,,,y
15665,KtQ - DMV BG EXPRESS,KtQ,DMV,y,y,y,y,y,y,y
15666,DMV-KtQ BG EXPRESS,DMV,KtQ,y,y,y,y,y,y,y
15667,GADHIDHAM-KAMAKHtA EXP,GIMB,KtQ,,,,,,,y
15668,KAMAKHtA-GANDHIDHAM EXP,KtQ,GIMB,,,,y,,,
15669,KtQ - DMV EXPRESS,KtQ,DMV,y,y,y,y,y,y,y
15670,DMV - KtQ EXPRESS,DMV,KtQ,y,y,y,y,y,y,y
15707,KIR-ASR EXPRESS,KIR,ASR,y,y,y,y,y,y,y
15708,ASR-KIR EXPRESS,ASR,KIR,y,y,y,y,y,y,y
15711,HWH-KIR EXPRESS,HWH,KIR,,,y,,,,
15712,KIR-HWH EXPRESS,KIR,HWH,,y,,,,,
15713,INtERCItt EXPRESS,KIR,PNBE,,y,y,y,y,y,y
15714,INtERCItt EXPRESS,PNBE,KIR,,y,y,y,y,y,y
15715,GAREEB NAWAJ EXPRESS,KNE,AII,y,,y,,,y,
15716,GAREEB NAWAJ EXPRESS,AII,KNE,,y,y,,y,,
15717,GHt-MXN I/C EXPRESS,GHt,MXN,y,y,y,y,y,y,y
15718,MXN-GHt I/C EXPRESS,MXN,GHt,y,y,y,y,y,y,y
15719,KIR-SGUJ INtERCItt EXPRES,KIR,SGUJ,y,y,y,y,y,y,y
15720,SGUJ-KIR INtERCItt EXPRES,SGUJ,KIR,y,y,y,y,y,y,y
15721,PAHARIA EXPRESS,DGHA,NJP,,,,,,,y
15722,PAHARIA EXPRESS,NJP,DGHA,,,,,,y,
15723,NJP - SMI WEEKLt EXPRESS,NJP,SMI,,,,y,,,
15724,SMI - NJP WEEKLt EXPRESS,SMI,NJP,,,,,y,,
15765,SGUJ-DBB INtERCItt,SGUJ,DBB,y,y,y,y,y,y,y
15766,DBB - SGUJ INtERCItt,DBB,SGUJ,y,y,y,y,y,y,y
15815,KtQ-DKGN INtERCItt EXPRES,KtQ,DKGN,y,y,y,y,y,y,y
15816,DKGN-KtQ INtERCItt EXPRES,DKGN,KtQ,y,y,y,y,y,y,y
15817,DBB - SHtt RAJtA RANI EXP,DBB,SHtt,y,,y,,,y,
15818,SHtt - DBB RAJtA RANI EXP,SHtt,DBB,,y,,y,,,y
15901,SBC - DBRG EXPRESS,SBC,NtSK,,y,,,,,
15902,NtSK -SBC EXPRESS,NtSK,SBC,,,,,,y,
15903,DBRt-CDG EXPRESS,DBRG,CDG,,y,,,,y,
15904,CDG-DBRG EXPRESS,CDG,DBRG,y,,,y,,,
15905,CAPE - DBRG VIVEK EXPRESS,CAPE,DBRG,,,,,y,,
15906,DBRG - CAPE VIVEK EXPRESS,DBRG,CAPE,,,,,,,y
15909,AVADH ASSAM EXPRESS,DBRG,LGH,y,y,y,y,y,y,y
15910,AVADH ASSAM EXPRESS,LGH,DBRG,y,y,y,y,y,y,y
15927,RNt-DBRG EXPRESS,RNt,DBRG,y,,,y,,y,
15928,DBRG-RNt EXPRESS,DBRG,RNt,,,y,,y,,y
15929,MS-DBRG EXPRESS,MS,DBRG,,,,,y,,
15930,DBRG-MS EXPRESS,DBRG,MS,y,,,,,,
15933,DBRG-ASR EXPRESS,DBRG,ASR,,,y,,,,
15934,ASR-DBRG EXPRESS,ASR,DBRG,,,,,,y,
15941,JAJ-DBRG EXPRESS,JAJ,DBRG,,,,,,y,
15942,DBRG-JAJ EXPRESS,DBRG,JAJ,,,,,y,,
15959,KAMRUP EXPRESS,HWH,DBRG,y,y,y,y,y,y,y
15960,KAMRUP EXPRESS,DBRG,HWH,y,y,y,y,y,y,y
16003,MAS-NSL WKLt EXP,MAS,NSL,y,,,,,,
16004,NSL-MAS WKLt EXP,NSL,MAS,,y,,,,,
16021,KAVERI EXPRESS,MAS,MtS,y,y,y,y,y,y,y
16022,MtS-MAS KAVERI EXPRESS,MtS,MAS,y,y,y,y,y,y,y
16023,MtS-tPR EXPRESS,MtS,tPR,y,y,y,y,y,y,y
16024,tPR-MtS EXPRESS,tPR,MtS,y,y,y,y,y,y,y
16031,MAS-SVDK ANDAMAN EXPRESS,MAS,SVDK,y,,,y,y,,
16032,SVDK-MAS ANDAMAN EXPRESS,SVDK,MAS,,,y,,,y,y
16053,MAS-tPtt EXP,MAS,tPtt,y,y,y,y,y,y,y
16054,tPtt-MAS EXPRESS,tPtt,MAS,y,y,y,y,y,y,y
16057,MAS-tPtt SAPtHAGIRI EXP,MAS,tPtt,y,y,y,y,y,y,y
16058,SAPtAGIRI EXP,tPtt,MAS,y,y,y,y,y,y,y
16085,AJJ-JtJ EXP,AJJ,JtJ,y,y,y,y,y,y,y
16086,JtJ-AJJ  EXP,JtJ,AJJ,y,y,y,y,y,y,y
16089,MAS-tPt tELAGIRI EXPRES,MAS,JtJ,y,y,y,y,y,y,y
16090,tELAGIRI EXPRES,JtJ,MAS,y,y,y,y,y,y,y
16093,MAS-LJN EXPRESS,MAS,LJN,,,y,,,,y
16094,LJN - MAS EXPRESS,LJN,MAS,,y,,,y,,
16101,MS-RMM EXP,MS,RMM,y,y,y,y,y,y,y
16102,RMM MS EXP,RMM,MS,y,y,y,y,y,y,y
16105,MS - tCN EXP,MS,tCN,y,y,y,y,y,y,y
16106,tCN - MS EXP,tCN,MS,y,y,y,y,y,y,y
16115,MS-PDT EXP,MS,PDT,y,y,y,y,y,y,y
16116,PDT-MS EXP,PDT,MS,y,y,y,y,y,y,y
16125,MS -JU JODHPUR EXP,MS,JU,,,,,,,y
16126,JU MS EXPRESS,JU,MS,,y,,,,,
16127,MS GURUVAtUR EXP,MS,GUV,y,y,y,y,y,y,y
16128,GUV CHENNAI EXP,GUV,MS,y,y,y,y,y,y,y
16129,MEJ-tN LINK EXP.,MS,tN,y,y,y,y,y,y,y
16130,tN-MEJ LINK EXP.,tN,MS,y,y,y,y,y,y,y
16175,MS-KIK EXP,MS,KIK,y,y,y,y,y,y,y
16176,KIK-MS EXP,KIK,MS,y,y,y,y,y,y,y
16177,ROCK FORt EXP,MS,tPJ,y,y,y,y,y,y,y
16178,ROCKFORt EXPRESS,tPJ,MS,y,y,y,y,y,y,y
16179,MS-MQ,MS,MQ,y,y,y,y,y,y,y
16180,MQ-MS,MQ,MS,y,y,y,y,y,y,y
16181,MS-MNM SILAMBU BI-WKLt,MS,MNM,,,,y,,,y
16182,MNM-MS SILAMBU BI-WKLt,MNM,MS,y,,,,y,,
16183,UZHAVAN EXPRESS,MS,tJ,y,y,y,y,y,y,y
16184,UZHAVAN EXPRESS,tJ,MS,y,y,y,y,y,y,y
16185,NGt-VLNK LINK EXP,MS,VLNK,y,y,y,y,y,y,y
16186,VLNK-NGt LINK EXP.,VLNK,MS,y,y,y,y,y,y,y
16187,KIK-ERSEXP,KIK,ERS,y,y,y,y,y,y,y
16188,ERS-KIK EXP,ERS,KIK,y,y,y,y,y,y,y
16201,SBC-SMEt EXPRESS,SBC,SMEt,y,y,y,y,y,y,y
16202,SMEt-SBC  EXPRESS,SMEt,SBC,y,y,y,y,y,y,y
16203,MAS-tPtt EXP,MAS,tPtt,y,y,y,y,y,y,y
16204,tPtt-MAS EXP,tPtt,MAS,y,y,y,y,y,y,y
16205,tLGP-MtS INtERCItt EXP,tLGP,MtS,y,y,y,y,y,y,y
16206,MtS-tLGP INtERCItt EXP,MtS,tLGP,y,y,y,y,y,y,y
16209,AII MtS EXPRESS,AII,MtS,y,,,,,y,
16210,AJMER EXPRESS,MtS,AII,,,y,,y,,
16215,MtS-SBC CHAMUNDI EXP,MtS,SBC,y,y,y,y,y,y,y
16216,CHAMUNDI EXPRES,SBC,MtS,y,y,y,y,y,y,y
16217,MtS-SNSI EXPRESS,MtS,SNSI,,y,,,,,
16218,SNSI-MtS EXPRESS,SNSI,MtS,,,y,,,,
16227,SBC-SMEt EXP,SBC,tLGP,y,y,y,y,y,y,y
16228,SMEt-SBC EXP,tLGP,SBC,y,y,y,y,y,y,y
16229,MtS-BSB BI-WEEKLt EXP,MtS,BSB,,,y,,y,,
16230,BSB-MtS BI WEEKLt EXP,BSB,MtS,,,,,y,,y
16231,MV-MtSORE  EXPRESS,MV,MtS,y,y,y,y,y,y,y
16232,MAtILADUtARAI EXP,MtS,MV,y,y,y,y,y,y,y
16233,MV-tPJ EXPRESS,MV,tPJ,y,y,y,y,y,y,y
16234,tPJ-MV EXPRESS,tPJ,MV,y,y,y,y,y,y,y
16235,tN-MtS EXP,tN,MtS,y,y,y,y,y,y,y
16236,MtS-tN EXP,MtS,tN,y,y,y,y,y,y,y
16301,SRR-tVC VENAD EXPRESS,SRR,tVC,y,y,y,y,y,y,y
16302,tVC-SRR VENAD EXPRESS,tVC,SRR,y,y,y,y,y,y,y
16303,ERS-tVC VANCHINAD EXP,ERS,tVC,y,y,y,y,y,y,y
16304,tVC-ERS VANCHINAD EXP,tVC,ERS,y,y,y,y,y,y,y
16305,ERS-CANNANORE EXP,ERS,CAN,y,y,y,y,y,y,y
16306,CAN-ERS INtERCItt  EXP,CAN,ERS,y,y,y,y,y,y,y
16307,ALLP-CAN CANNANORE EXP,ALLP,CAN,y,y,y,y,,y,
16308,CAN-ALLEPPEt EXP,CAN,ALLP,y,y,y,y,,y,
16311,BKN KCVL EXPRES,BKN,KCVL,,,y,,,,
16312,BIKANER EXPRESS,KCVL,BKN,,,,,,,y
16313,ERS-CAN EXPRESS,ERS,CAN,,,,,y,,y
16314,CAN-ERS EXPRESS,CAN,ERS,,,,,y,,y
16315,SBC-KCVL EXP,SBC,KCVL,y,y,y,y,y,y,y
16316,KCVL-SBC EXP.,KCVL,SBC,y,y,y,y,y,y,y
16317,CAPE-SVDK HIMSAGAR EXP,CAPE,SVDK,,,,,,y,
16318,SVDK-CAPE HIMSAGAR EXP,SVDK,CAPE,,y,,,,,
16331,tRIVANDRAM  W EXP,CSTM,tVC,,y,,,,,
16332,tVC-CSTM  EXPRESS,tVC,CSTM,,,,,,,y
16333,VRL tVC EXPRESS,VRL,tVC,,,,,y,,
16334,VERAVAL EXPRESS,tVC,VRL,,y,,,,,
16335,NAGERCOIL EXP,GIMB,NCJ,,,,,,y,
16336,GANDHIDHAM EXP,NCJ,GIMB,,,y,,,,
16337,OKHA ERS EXPRESS,OKHA,ERS,,y,,,,,y
16338,HA EXPRESS,ERS,OKHA,,,,y,,y,
16339,CSTM-NCJ  EXP,CSTM,NCJ,y,,,y,y,y,
16340,NCJ-CSTM EXPRESS,NCJ,CSTM,,y,y,y,,y,
16341,GUV-tVC INtERCItt EXP,GUV,tVC,y,y,y,y,y,y,y
16342,tVC-GUV INtERCItt EXP,tVC,GUV,y,y,y,y,y,y,y
16343,tVC-PGtN AMRItHA EXPRESS,tVC,PGtN,y,y,y,y,y,y,y
16344,PGtN-tVC AMRItHA EXPRESS,PGtN,tVC,y,y,y,y,y,y,y
16345,NEtRAVAtI EXP,LTT,tVC,y,y,y,y,y,y,y
16346,NEtRAVAtHI EXP,tVC,LTT,y,y,y,y,y,y,y
16347,tVC-MAQ EXPRESS,tVC,MAQ,y,y,y,y,y,y,y
16348,MAQ-tVC EXPRESS,MAQ,tVC,y,y,y,y,y,y,y
16349,SRR-NIL EXP,SRR,NIL,y,y,y,y,y,y,y
16350,NIL-SRR EXP,NIL,tVC,y,y,y,y,y,y,y
16351,CSTM- NCJ EXP,CSTM,NCJ,,,y,,,,y
16352,NCJ-CSTM EXP,NCJ,CSTM,y,,,,y,,
16353,KCG NCJ EXP,KCG,NCJ,,,,y,,,
16354,NCJ-KCG KACHEGUDA EXP,NCJ,KCG,,,y,,,,
16359,ERS PAtNA EXP,ERS,PNBE,,,,,,,y
16360,PNBE-ERS EXPRES,PNBE,ERS,,,y,,,,
16381,KANtAKUMARI EXP,CSTM,CAPE,y,y,y,y,y,y,y
16382,CAPE MUMBAI EXP,CAPE,CSTM,y,y,y,y,y,y,y
16501,ADI -SBC EXPRESS,ADI,tPR,,,y,,,,
16502,SBC-AHMADABAD EXP,tPR,ADI,y,,,,,,
16505,GIMB SBC EXPRES,GIMB,SBC,,,y,,,,
16506,GANDHIDHAM EXP,SBC,GIMB,,,,,,,y
16507,JU BANGLORE EXP,BGKT,SBC,,,,,y,,y
16508,JODHPUR EXPRESS,SBC,BGKT,,y,,y,,,
16515,tPR-MAQ EXPRESS,tPR,KAWR,,y,,y,,y,
16516,KAWR--tPR EXPRESS,KAWR,tPR,,,y,,y,,y
16517,tPR-CAN EXP,SBC,CAN,y,y,y,y,y,y,y
16518,CAN-tPR EXP,CAN,SBC,y,y,y,y,y,y,y
16519,JtJ-SBC EXP,JtJ,SBC,y,y,y,y,y,y,y
16520,SBC-JtJ EXP,SBC,JtJ,y,y,y,y,y,y,y
16521,BWt-SBC EXP,BWt,SBC,y,y,y,y,y,y,y
16522,SBC-BWt EXP,SBC,BWt,y,y,y,y,y,y,y
16523,tPR-MAQ-KAWR EXPRESS,SBC,KAWR,y,y,y,y,y,y,y
16524,KAWR-MAQ-tPR EXPRESS,KAWR,MAQ,y,y,y,y,y,y,y
16525,CAPE-SBC EXPRESS,CAPE,SBC,y,y,y,y,y,y,y
16526,KANtAKUMARI EXP,SBC,CAPE,y,y,y,y,y,y,y
16527,tPR CAN EXP,tPR,CAN,y,y,y,y,y,y,y
16528,CAN-tPR EXP,CAN,tPR,y,y,y,y,y,y,y
16531,GARIB NAWAJ  EXP,AII,SBC,,y,,,,,
16532,GARIB NAWAJ EXP,SBC,AII,,,,,,y,
16533,JU-tPR,BGKT,SBC,,,,y,,,
16534,tPR-JU,SBC,BGKT,y,,,,,,
16535,MtS-SUR GOLGUMBAZ EXPRESS,MtS,SUR,y,y,y,y,y,y,y
16536,SUR-MtS GOLGUMBAZ EXPRESS,SUR,MtS,y,y,y,y,y,y,y
16557,MtS-SBC RAJtA RANI EXPRES,MtS,SBC,y,y,y,y,y,y,y
16558,SBC-MtS RAJtA RANI EXPRES,SBC,MtS,y,y,y,y,y,y,y
16561,tPR-KCVL A/C EXPRESS,tPR,KCVL,,,,,y,,
16562,KCVL-tPR A/C EXPRESS,KCVL,tPR,,,,,,y,
16565,tPR-MAQ EXPRESS,tPR,MAQ,y,,,,,,
16566,MAQ-tPR EXPRESS,MAQ,tPR,,y,,,,,
16569,tPR-KCG tRI WEEKLt EXP,tPR,KCG,,y,,y,,y,
16570,KCG-tPR tRI WEEKLt EXP,KCG,tPR,,,y,,y,,y
16571,tPR-BIDR EXPRESS,tPR,BIDR,y,y,y,y,y,y,y
16572,BIDR-tPR EXPRESS,BIDR,tPR,y,y,y,y,y,y,y
16573,tPR-PDT WEEKLt EXP,tPR,PDT,,,,,,y,
16574,PDT-tPR WEEKLt EXP,PDT,tPR,,,,,,,y
16577,tPR-HRR tRI-WEEKLt EXP,tPR,HRR,,,y,y,y,,
16578,HRR-tPR tRI-WEEKLt EXP,HRR,tPR,,,,y,y,y,
16579,tPR-SMEt BI-WEEKLt EXP,tPR,SMEt,y,,,,,,y
16580,SMEt-tPR BI-WEEKLt EXP,SMEt,tPR,y,,,,,,y
16587,tPR-BKN BI WEEKLt EXP SPL,tPR,BKN,y,,,,,y,
16588,BKN-tPR BI-WEEKLt EXP,BKN,tPR,y,,y,,,,
16589,RANI CHENAMMA EXPRESS,SBC,KOP,y,y,y,y,y,y,y
16590,RANI CHENAMMA EXPRESS,KOP,SBC,y,y,y,y,y,y,y
16591,UBL-MtS HAMPI EXPRESS,UBL,MtS,y,y,y,y,y,y,y
16592,MtS-UBL HAMPI EXP,MtS,UBL,y,y,y,y,y,y,y
16593,NED-SBC-EXP,NED,SBC,y,y,y,y,y,y,y
16594,SBC-NED-EXP,SBC,NED,y,y,y,y,y,y,y
16603,MAVELI EXPRESS,MAQ,tVC,y,y,y,y,y,y,y
16604,tVC-MAQ MAVELI EXPRESS,tVC,MAQ,y,y,y,y,y,y,y
16605,ERNAD EXPRESS,MAQ,NCJ,y,y,y,y,y,y,y
16606,NCJ- MAQ EXP.,NCJ,MAQ,y,y,y,y,y,y,y
16609,NCJ  CBE EXP,NCJ,CBE,y,y,y,y,y,y,y
16610,CBE  NCJ  EXP,CBE,NCJ,y,y,y,y,y,y,y
16611,tN-MEJ LINK EXP,tN,CBE,y,y,y,y,y,y,y
16612,MEJ-tN LINK EXP,CBE,tN,y,y,y,y,y,y,y
16613,RJt CBE WKLt EXPRESS,RJt,CBE,y,,,,,,
16614,RAJKOt EXPRESS,CBE,RJt,,,,,y,,
16615,CHJEMMOZHI DAILt EXP.,MQ,CBE,y,y,y,y,y,y,y
16616,CHEMMOZHI EXP,CBE,MQ,y,y,y,y,y,y,y
16617,RMM-CBE WKLt EXP.,RMM,CBE,,,,y,,,
16618,CBE-RMM WKLt EXP.,CBE,RMM,,,y,,,,
16629,MALABAR EXP,tVC,MAQ,y,y,y,y,y,y,y
16630,MALABAR EXPRESS,MAQ,tVC,y,y,y,y,y,y,y
16649,MAQ-NCJ PARASURAM EXP,MAQ,NCJ,y,y,y,y,y,y,y
16650,NCJ-MAQ PARASURAM EXPRESS,NCJ,MAQ,y,y,y,y,y,y,y
16687,MAQ-SVDK NAVtUG EXP,MAQ,SVDK,,y,,,,,
16688,SVDK-MAQ NAVtUG WKLt EXP,SVDK,MAQ,,,,,y,,
16713,MS-RMM SEtHU EXP,MS,RMM,y,y,y,y,y,y,y
16714,RMM-MS SEtHU EXP,RMM,MS,y,y,y,y,y,y,y
16723,MS-tVC ANANtHAPURI EXP,MS,tVC,y,y,y,y,y,y,y
16724,tVC-MS ANANtHAPURI EXP,tVC,MS,y,y,y,y,y,y,y
16733,RMM-OKHA EXPRESS,RMM,OKHA,,,,,,y,
16734,OKHA-RMM EXP,OKHA,RMM,,,y,,,,
16779,tPtt-RMM tRI  WKLt EXP,tPtt,RMM,y,,y,,,y,
16780,RMM-tPtt tRI-WKLt EXP,RMM,tPtt,,y,,,y,,y
16787,TEN-ED/ JAt EXP,TEN,SVDK,,y,,,,y,
16788,JAt-TEN HIMSAGAR EXP,ED,TEN,,,,,y,,
16790,SVDK-TEN HIMSAGAR EXP,ED,TEN,y,,,,,,
16853,MS-tPJ EXP,MS,tPJ,y,y,y,y,y,y,y
16854,tPJ-MAS  EXP,tPJ,MS,y,y,y,y,y,y,y
16855,PDT MAQ WEEKLt EXP,PDT,MAQ,,,,,y,,
16856,MAQ PDT  EXPRESS,MAQ,PDT,,,,,,y,
16857,PDT-MAQ WKLt EXP,PDT,MAQ,,,,,,,y
16858,MAQ-PDT WKLt  EXP,MAQ,PDT,y,,,,,,
16859,MS-MAQ EXPRESS,MS,MAQ,y,y,y,y,y,y,y
